Collection,Exhibition,Date/Time Created,Link to Source Page,Object / Image Title,"""Accession Number""",Source URI,"Existing Description ""Hover"" Text",Alt Description Text,Long Description Text,Author,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/11/2020 9:00 AM,https://collection.cooperhewitt.org/objects/18338211/,"Embroidery Sample (France), 1775–1805",1932-1-62,https://images.collection.cooperhewitt.org/43190_be3dd70648693c40_b.jpg,"Floral design embroidered with multicolored silk, silver and gold threads and wire coils, stamped gold appliqué and mirrored glass beads on a solid green velvet ground.","Embroidery sample with multicolor floral and geometric design in silk, metal threads and sequins, and glass beads, on dark velvet","This rectangular embroidery sample on dark velvet features an elaborate design along its left side. The embroidery is done in pink and green silk threads, gold and silver threads, metal sequins, and bezeled mirrored glass beads. Along the left edge, on a silver and gold border, is a line of diamond-shaped glass beads interspersed with sequins. To the right, along the upper half, are six pink flowers arranged vertically, on a background of straight green vines. The flowers have glass beads and metal thread at their centers, surrounded by sunburst-like stitches in light pink silk, and diminish in size moving down. To the right of the flowers, a large gold leaf curves up, with a line of glass beads down its spine, edges fringed with small silver ovals. Small branching silver flowers float out to the right on the dark velvet. Below, a pale green leaf shape anchors four cascading lines of round glass beads and gold threads, curving left around a large rose. The rose is embroidered in shades of pale pink, maroon, pale green, and salmon pink. Below the rose, the pattern of pink flowers, gold leaf, and green leaf repeats. The sample is surrounded by a cream-colored paper enclosure. At the right side of the sample, a crinkled brown paper is folded away.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/11/2020 9:35,https://collection.cooperhewitt.org/objects/18338105/,"Embroidery Sample (France), ca. 1770",1932-1-14,https://images.collection.cooperhewitt.org/42291_09c7a1b45ae18a01_b.jpg,Multicolored silk embroidery in a floral design on a dark purple ground with a small purple dot design.,"Embroidery sample with multicolor floral design in silk, on purple-dotted dark velvet ","This rectangular embroidery sample on purple-dotted dark velvet has a repeating silk floral design along its left side. A border of small white and pink tulip-shaped flowers runs up the left edge. To the right, a line of four narrow heart-shaped brown leaves point down. A large teardrop-shaped cluster of flowers leans out to the right. The center of the flower spike is light green, accented with red and yellow ovals surrounding the stem, with green tendrils between the pink and brown bell-shaped flowers. Below, facing right, a pink rose blooms, surrounded by green rose leaves above, three feathery bright green leaves above round blue berries to the right, and a cluster of three narrow heart-shaped brown leaves below. Below the rose the pattern repeats, showing three heart-shaped brown leaves, the teardrop-shaped head of pink flowers, the green rose leaves, and a bright green feathery leaf with blue berries. The textile is surrounded by a cream-colored paper enclosure.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/11/2020 10:15,https://collection.cooperhewitt.org/objects/18338139/,"Embroidery Sample (France), ca. 1770",1932-1-3,https://images.collection.cooperhewitt.org/338732_28b6ba1e58064fe0_b.jpg,Dark purple velvet with minute square dot pattern; embroidered border design in white and brilliant colored silks. Pattern of fantastic foliage and flowers.,"Embroidery sample with multicolor floral design in silk, on brown-dotted dark velvet ","A rectangular embroidery sample on brown-dotted dark velvet, with a silk floral design along the left side. A line of small white wing shapes runs up the left edge. To the right is a border of pointed foliage alternating in greens and oranges, with dark red veins, interspersed with clusters of small blue flowers and lacy pale pink and pale orange fronds. A spray of feathery silver-white flowers leans out to the right, on a long pink stem. Below, also leaning right on a short pink stem, is a conical flower in white and yellow, haloed with green and yellow French knots. The pattern repeats below this flower, with another feathery silver-white flower. The sample is surrounded by a cream-colored paper enclosure.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/11/2020 10:40,https://collection.cooperhewitt.org/objects/18338175/,"Embroidery Sample (France), 1790–1800",1932-1-46,https://images.collection.cooperhewitt.org/42312_c375e5f661352e39_b.jpg,Floral pattern embroidered with white silk and pieces of clear glass on black velvet with vertical green twill stripes.,"Embroidery sample with stylized floral design in white silk and glass beads, on green-striped black velvet","This rectangular embroidery sample features a stylized, graphic floral design in white silk and glass beads, on black velvet patterned with narrow vertical green stripes. The embroidery design runs along the left side of the sample. A border of round glass beads anchors the sprays of flower and leaf shapes fanning out to the right. At the top, leaning right, is a fanciful flower-shape, with heart-shapes formed from pairs of oval glass beads: at left, two silk-fringed heart-shapes; at right, a spray of four heart shapes, each crowned with a fan of stitches. This flower is flanked by two fronds of glass-beaded foliage, with alternating oval leaves growing smaller down the stem. Below, halfway down the sample, is a large flower-shape leaning right: a cascade of five lines of falling starbursts, like a firework, with a round glass bead at the center of each starburst. At the top of the flower is a curving spray of five lines of round glass beads. Small white silk fronds flank the stem of this flower. The pattern repeats below the firework-flower, with another heart flower and one oval-leaf frond. The textile is surrounded by a cream-colored paper enclosure.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/11/2020 10:50,https://collection.cooperhewitt.org/objects/18338137/,"Embroidery Sample (France), 1780–95",1932-1-29,https://images.collection.cooperhewitt.org/42302_3c303b2feb3e4a44_b.jpg,Multicolored silk embroidery with a border design of flower sprays on a black dotted ground.,"Embroidery sample with multicolor floral design in silk, on dotted navy velvet","This rectangular embroidery sample has a repeating silk design of flowers and leaves on navy velvet dotted with minute blue-violet crosses. A border of pink and white flowers, like rounded tulips facing down, marches down the left edge. Leaning right, at the top, is a spray of drooping pale pink and rusty orange bell-shaped flowers, surrounded by sprigs of small blue flowers and long brown serrated leaves. Below, in the middle of the sample, a large rose blooms, with petals shaded in dusty pinks, oranges, and pale greens. A pink rosebud curves out to the right of the rose, with small blue flowers above. The pattern repeats below the rose, with another cluster of pink and orange bell-shaped flowers. The textile is surrounded by a cream-colored paper enclosure.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/12/2020 12:40,https://collection.cooperhewitt.org/objects/18338109/,"Embroidery Sample (France), ca. 1770",1932-1-16,https://images.collection.cooperhewitt.org/42293_d1f07354a120b2ca_b.jpg,Ribbed blue silk with narrow horizontal stripes embroidered in white and pale colors in a design of fantastic flowers.,"Embroidery sample with white floral design in silk, on grey-striped black fabric","This rectangular embroidery sample has a floral design largely in white silk, on textured black fabric with narrow vertical blue-grey stripes. The textile is surrounded by a cream-colored paper enclosure. On the left edge is a vertical blue and white stripe with a vertical line of fringed white flowers to its right. To the right two large white flowers, stacked vertically, lean out to the right, with the same long heart-shaped white and pink leaves. Smaller acorn-shaped flowers fill in the space around the large flowers. The upper large flower is oval-shaped, lacy, and white, with a pale blue and coral red center, dotted with yellow French knots. A spray of small light green leaves backs the flower. Below is a cluster of six hanging white acorn-shaped flowers, the ""acorns"" filled with French knots, the ""caps"" accented with blue and red at their centers. These flowers lead down to the second large white flower, like an oval-shaped firework. The center is pale blue and green accented with a red ring, circled by white and yellow five-petalled flowers, and finished with a lacy fringe. The same spray of small light green leaves backs this flower. Below, the caps of the two uppermost acorn-flowers repeat.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/12/2020 12:55,https://collection.cooperhewitt.org/objects/18338149/,"Embroidery Sample (France), 1790–1800",1932-1-34,https://images.collection.cooperhewitt.org/42306_3fa98b0a73d21071_b.jpg,Multicolored silk embroidery in a floral design on a dark blue ground with vertical purple stripes.,"Embroidery sample with cool-colored floral and geometric design in silk, on purple-striped dark velvet","This rectangular embroidery sample features a floral and geometric design in lustrous silk, in shades of silvery white, bright blue, lilac purple, and spring green. The ground fabric is dark velvet patterned with vertical purple stripes and pale blue dots. The sample is surrounded by a cream-colored paper enclosure. Along the left edge of the fabric run a vertical pale blue stripe and a line of white ovals. To the right, at the top, is a white diamond-shaped appliqué with a blue and purple flower on a green stem. Below, leaning out to the right, is a bouquet of two blooming rose-like flowers and a bud in white, blue, and purple, with green lobed leaves. Sprays of feathery white leaves back the roses. Below, against the line of white ovals, are six more floral diamonds arranged in a zig-zag harlequin pattern. A smaller bouquet springs out to the right from the upper right side of the bottom right diamond: two small blue and purple carnation-like flowers with narrow green leaves, accented with delicate green sprigs and the feathery white leaves. Below, the pattern repeats, with the diamond, rose bouquet, and the upper half of the harlequin diamonds and carnations.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/12/2020 1:40,https://collection.cooperhewitt.org/objects/18338155/,"Embroidery Sample (France), 1790–1800",1932-1-37,https://images.collection.cooperhewitt.org/42308_259ba1eea64f8070_b.jpg,Multicolored silk embroidery in a floral design on a blue ground with green vertical stripes.,"Embroidery sample with pastel multicolor floral design in silk, on green-striped dark velvet","This rectangular embroidery sample features a delicately colored design of floral bouquets, stitched in lustrous silk, on spring green-striped dark velvet. The textile is surrounded by a cream-colored paper enclosure. Along the left edge of the sample run two vertical bands, a narrow pale blue stripe and a diagonally-striped white and green band. To the right are three trailing cascades of white and pink flowers, with spring green French knots between the flowers. The scalloped flowers diminish in size moving down the cascade. To the right are three different bouquets, with similar foliage and posture. Atop the second cascade, at the top of the sample, are two rose-like flowers, petals stitched in various soft shades of pink, green, yellow, blue, and white. The left flower is in full bloom; the right is halfway open. Sprigs of small blue flowers flank the narrow green leaves. Atop the third cascade, in the middle of the sample, is a white and pink five-petalled flower in full bloom, surrounded by four buds. Small blue flowers and a sprig of greenery accent the flower. Below, at the bottom of the sample, is a pair of daisies in shades of pink, coral, and green. Their centers are picked out in yellow, brick red, and pale blue French knots. The left flower is larger and faces up; the right is smaller and nods down. Small blue flowers flank the narrow light green leaves.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Embroidered + Embellished,6/12/2020 3:20,https://collection.cooperhewitt.org/objects/18338123/,"Embroidery Sample (France), ca. 1790",1932-1-22,https://images.collection.cooperhewitt.org/42297_a4df3a047bee8609_b.jpg,Dark blue ribbed silk embroidered in a border design of small feathers and flowers in multicolored silks.,"Embroidery sample with bright multicolor floral and feather design in silk, on navy blue fabric","This rectangular embroidery sample on navy blue woven fabric features a design of flowers and feathers in cheerful multicolors. The textile is surrounded by a cream-colored paper enclosure. Along the left side of the sample run two vertical stripes, one light blue and white, the other alternating between white satin stitch and panels of French knots on the navy ground. To the right, arranged vertically, are four diagonal feathers, quill ends pointing down, alternating right and left. The feathers are striped sky blue, black, and white above the shaft, and shaded in white, mustard yellow, and coral red below. Both sides have a downy border in pale taupe along the bottom half. The feathers seem to float over a vertical band of greenery, small blue flowers, and the stems of floral bouquets. The bouquets curve out to the right on the navy ground. At the top, level with the first feather, is a group of three flowers with round petals and tall stamens. The flowers are embroidered in shades of teal, pink, yellow, white, and coral. Small sky blue and white flowers accent this arrangement. Below, level with the third feather, is a group of three cone-shaped flowers with round ""skirts"" near the point of the cone. The cones are teal; the skirts are shaded yellow, coral, pink, and white, ringed with French knots. The same blue and white flowers flank the cone flowers. Below, the pattern repeats with the upper half of the first bouquet.",Rachael Patterson,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/26/2020 12:00:00,https://collection.cooperhewitt.org/objects/2318795225/,"STOOL, STRATA DRUM, 2018",114.2018.1,https://images.collection.cooperhewitt.org/343159_5b38ef13c5d1f37e_b.jpg,"Stool, Strata Drum, 2018",Photo of stool in shape of a solid but rough cylinder with striated layers of color.,"Photo of stool in shape of a solid but rough cylinder with striated layers of colors in of grey, black, blue, and white.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/26/2020 12:00:00,https://collection.cooperhewitt.org/objects/2318795226/,"STOOL, STRATA DRUM, 2018",114.2018.2,https://images.collection.cooperhewitt.org/343160_fd41123785fe1eaa_b.jpg,"Stool, Strata Drum, 2018",Photo of stool in shape of a solid but rough cylinder with striated layers of color.,"Photo of stool in shape of a solid but rough cylinder with striated layers of colors in of grey, black, blue, and white.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/26/2020 12:00:00,https://collection.cooperhewitt.org/objects/2318793441/,"BIRD SPECIMEN, RESPLENDENT QUETZAL (PHAROMACHRUS MOCINNO), 1892",10.2018.1,https://images.collection.cooperhewitt.org/340581_628265a92ead6dd5_b.jpg,"Bird Specimen, Resplendent Quetzal (Pharomachrus mocinno), 1892",Photo of a bird standing on a perch with feather colors of iridescent green and bright red.,"Photo of a bird standing on a wooden horizontal rod perch. Feathers of brilliant colors with iridescent green on head, breast, and wings and red legs.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/26/2020 12:00:00,https://collection.cooperhewitt.org/objects/2318793444/,"BIRD SPECIMEN, TURQUOISE-BROWED MOTMOT (EUMOMOTA SUPERCILIOSA SUPERCILIOSA), JANUARY 29, 1901",10.2018.4,https://images.collection.cooperhewitt.org/340580_baf06ab72189f81c_b.jpg,"Bird Specimen, Turquoise-browed Motmot (Eumomota superciliosa superciliosa), January 29, 1901","Photo of two birds laying on their backs with feather colors of rusty red, muddy green and accents of black and teal.","Photo of two birds of similar size laying on their backs, extended from beak to tail feathers in a straight line. Positioned side by side. They have similar colors. Feather colors of rust red, muddy green on body. Black feathers with bright teal accents on chin and wings. Paper specimen tag tied around the feet.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/26 12:00 PM,https://collection.cooperhewitt.org/objects/2318793447/,"BIRD SPECIMEN, MONTEZUMA OROPENDOLA (PSAROCOLIUS MONTEZUMA), FEBRUARY 23, 1943",10.2018.7,https://images.collection.cooperhewitt.org/340604_5cd5b96dfd05727b_b.jpg,"Bird Specimen, Montezuma Oropendola (Psarocolius montezuma), February 23, 1943",Photo of two birds laying on their backs with feather colors of dark brown with yellow tails.,"Photo of two birds laying on their backs, extended from beak to tail feathers in a straight line. Positioned side by side. Bird on left is twice as large as bird on the right. They have similar colors. Main body feathers are dark brown. Tail feather are bright yellow. Paper specimen tag tied around the feet.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/26 12:00 PM,https://collection.cooperhewitt.org/objects/18702085/,"GOURMET STACKING EGG CUP, 1958",2005-18-1,https://images.collection.cooperhewitt.org/337059_ba1f23befe1c8351_b.jpg,"Circular form of white melamine with wide, tapering everted rim surounding circular well with lip tapering to fine edge; low circular foot ring.",Photo of a white egg cup with a tapering everted rim surounding circular well with lip,"Circular form of white melamine with wide, tapering everted rim surounding circular well with lip tapering to fine edge; low circular foot ring.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/26 12:00 PM,https://collection.cooperhewitt.org/objects/18429545/,"OSTRICH EGG AND STAND, 17TH CENTURY","1960-1-27-a,b",https://images.collection.cooperhewitt.org/337363_3a4b9c8047e782eb_b.jpg,"Ostrich egg carved with allegories of the four continents--Africa, America, Asia, Europe.","Ostrich egg carved with allegories of the four continents--Africa, America, Asia, Europe.",Photo of a large ostrich egg. Cream colored with brown speckles. Carved into the egg is a scene of a man with a feather headdress holding two arrows sitting in front of a palm tree. The word “America” is written above the tree. The egg is resting on a disk shaped stand with a raised back and of a similar cream color.,Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/27 10:38 AM,https://collection.cooperhewitt.org/objects/18617539/,"POSTER, SOURCES AND RESOURCES OF 20TH CENTURY DESIGN, THE INTERNATIONAL DESIGN CONFERENCE IN ASPEN, 1966",1981-29-227,https://images.collection.cooperhewitt.org/337700_e116f2188a5d28ea_b.jpg,"Against a reddish-orange background on the right side a white egg shape is spattered with black ink. Along the left side, a vertical white band, with a lone black spot. Black text appears on the upper left: Sources and Resources / of 20th Century Design / June 19 to 24, 1966 / The International Design / Conference in Aspen.",Against a reddish-orange background on the right side a white egg shape is spattered with black ink.,"Abstract Illustration. Against a reddish-orange background on the right side a white egg shape is spattered with black ink. Along the left side, a vertical white band, with a lone black spot. Black text appears on the upper left: Sources and Resources / of 20th Century Design / June 19 to 24, 1966 / The International Design / Conference in Aspen.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,43978.44306,https://collection.cooperhewitt.org/objects/18445967/,"WOMAN'S SURCOAT (CHINA), LATE 19TH CENTURY",1962-64-1,https://images.collection.cooperhewitt.org/49917_e83e0a31fdd25bb4_b.jpg,A  robe of dark blue silk with a deep wave border at the bottom and sleeve hems. Tapestry-woven design of eight large circular medallions showing five white cranes with red crests and blue cloud bands. Lined with light blue silk.,A  robe of dark blue silk with a deep wave border at the bottom and sleeve hems and large circular medallions showing five white cranes.,A  robe of dark blue silk with a deep wave border at the bottom and sleeve hems. Tapestry-woven design of eight large circular medallions showing five white cranes with red crests and blue cloud bands. Lined with light blue silk. Robe is layed out flat with arms stretched out at the sides.,Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,43978.44306,https://collection.cooperhewitt.org/objects/35460957/,"POSTER, CIRCUMPOLAR 2, 2010",43436,https://images.collection.cooperhewitt.org/337704_23ded48a5f39aa65_b.jpg,Second poster of the Circumpolar series depicting eight film stills of a bird in flight with text about the bird's circumlocution of the globe printed in white in the center.,Poster depicting eight film stills of a bird in flight with text about the bird's circumlocution of the globe printed in white in the center.,Second poster of the Circumpolar series depicting eight film stills of a black colored bird in flight against a light blue sky with text about the bird's circumlocution of the globe printed in white in the center. Poster has a thin grey border.,Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/27 10:38 AM,https://collection.cooperhewitt.org/objects/18805547/,"FOUR CLIPPED WINGS BOWL, 1984",1985-66-1,https://images.collection.cooperhewitt.org/189317_e0419426cae70921_b.jpg,"Thrown porcelain bowl. From narrow (4.3 cm diameter) circular foot, body flares upward and outward at extreme angle.  Upper edge cut with four wing-like notches.  Overall surface smooth, with modulations.  Exterior and interior with semi-matte black glaze; foot ring glazed orange-brown outside.",Black thrown porcelain bowl with narrow circular foot that flares upward and outward at an extreme angle. Upper edge cut with four wing-like notches.,"Thrown porcelain bowl. From narrow (4.3 cm diameter) circular foot, body flares upward and outward at extreme angle.  Upper edge cut with four wing-like notches.  Overall surface smooth, with modulations.  Exterior and interior with semi-matte black glaze; foot ring glazed orange-brown outside.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/27/2020 10:38 AM,https://collection.cooperhewitt.org/objects/2318793449/,"BIRD SPECIMEN, MONTEZUMA OROPENDOLA (PSAROCOLIUS MONTEZUMA), MARCH 17, 1987",10.2018.9,https://images.collection.cooperhewitt.org/340589_9ecbf6cba847ea09_b.jpg,"Smithsonian Bocas Del Toro Expeditions, 1987",Photo of a bird’s left wing. Wing is spread out as if in flight. The feathers are brown.,Photo of a bird’s left wing. Wing is spread out as if in flight. The feathers are brown and dark brown.  There is a white paper tag tied to the upper right side of the wing specimen. ,Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/27 10:38 AM,https://collection.cooperhewitt.org/objects/51497591/,"ROBOBEE (USA), AUGUST 2012",2015-23-1,https://images.collection.cooperhewitt.org/332938_9ef223ab2f278e69_b.jpg,Bee-sized robot,Photo of a bee-sized robot with wings,Photo of a bee-sized robot with wings. Robot has a long black metal rectangular tube body. It is standing on four thin stick-like legs with a gummy translucent mass at the feet. A pair of translucent wings are attached outstretched to upper part of body. A stick-like appendage protrudes from the top of the body where the head would be and has a gummy translucent mass at the end.,Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/27 10:38 AM,https://collection.cooperhewitt.org/objects/18449099/,"DRAWING, STUDY FOR ""QUICKEST WAY BY AIR MAIL""",1963-39-898,https://images.collection.cooperhewitt.org/338098_0f9ffcec838b217d_b.jpg,"Drawing, Study for ""Quickest Way by Air Mail""","Drawing, Study for ""Quickest Way by Air Mail"". A blue triangular, abstract rendering of a bird in flight (recalling a paper airplane) layered over a grey upside down triangle and a white background.","Study for ""Quickest Way by Air Mail"" poster. An angular, abstract rendering of a bird in flight (recalling a paper airplane) layered over a grey upside down triangle and a white background. The bird's body is a long blue triangle. The upper wing is formed by an elongated blue line that mimics the long side of the grey triangle behind it.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/27 10:38 AM,https://collection.cooperhewitt.org/objects/18449101/,"DRAWING, STUDY FOR ""QUICKEST WAY BY AIR MAIL"", 1935",1963-39-899,https://images.collection.cooperhewitt.org/338032_5ef46dbe44d3ce8c_b.jpg,"Study for ""Quickest Way by Air Mail"" poster. An angular, abstract rendering of a bird in flight (recalling a paper airplane) is surrounded by blue sky. The bird's body is solid black with white circular eye and white triangular beak. The upper wing is formed by an elongated white triangle; the lower wing formed by a smaller elongated white triangle.","Drawing, Study for ""Quickest Way by Air Mail"". An angular, abstract rendering of a bird in flight (recalling a paper airplane) is surrounded by blue sky.","Study for ""Quickest Way by Air Mail"" poster. An angular, abstract rendering of a bird in flight (recalling a paper airplane) is surrounded by blue paint strokes of sky over a white background. The bird's body is solid black with white circular eye and white triangular beak. The upper wing is formed by an elongated white triangle; the lower wing formed by a smaller elongated white triangle.",Robyn Carter,,,,,,,,,,,,,,,
Past Exhibitions,Rebecca Mendez,5/27 10:38 AM,https://collection.cooperhewitt.org/objects/18449107/,"DRAWING, STUDY FOR ""QUICKEST WAY BY AIR MAIL"", 1935",1963-39-900,https://images.collection.cooperhewitt.org/338072_5e9c42555519b20b_b.jpg,"Study for ""Quickest Way by Air Mail"" poster. An abstract rendering of a bird, the body in solid black with a white circular eye, and two triangular wings rendered in heavy, black outline. A white diagonal line connects the two triangular wings across the central black body. The beak is indicated by a small white triangle which touches the left margin.","Drawing, Study for ""Quickest Way by Air Mail"". An abstract rendering of a bird, the body in solid black with a white circular eye, and two triangular wings rendered in heavy, black outline.","Study for ""Quickest Way by Air Mail"" poster. An abstract rendering of a bird, the body in solid black trapezoid with a white circular eye, and two triangular wings rendered in heavy, black outline against a white background. A white diagonal line connects the two triangular wings across the central black body. The beak is indicated by a small white triangle which touches the left margin.",Robyn Carter,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
